,text,stars,months_ago,summary
95,"attention: the guesthouse can be reached on foot or by taxi boat. However, don't think you are in a quiet place. Microscopic and crowded pebble beach, if you use the pension's deckchairs and umbrellas you pay. For the restaurant and for …",1,96,"the guesthouse can be reached on foot or by taxi boat. if you use the pension's deckchairs and umbrellas you pay, you pay. the pension is surrounded by a crowded pebble beach, a quiet place to stay. if you use the deckchairs and umbrellas you pay, you pay a visit to the restaurant. if you use the pension's deckchairs and umbrellas you pay."
96,"After just a 15-minute walk you can escape the hustle and bustle of Loutro and find a tranquil restaurant with a relaxing, quiet atmosphere. The menu is clear, but completely sufficient for all tastes. The quality was good and the service was very accommodating. A perfect place to relax.",4,48,"the menu is clear, but completely sufficient for all tastes. the quality was good and the service was very accommodating. a perfect place to relax. the restaurant is a quiet, quiet place. the restaurant is a perfect place to relax. a great selection of wines and a great selection of wines and wine. a great selection of wines and wine. a great selection of wines and wine. a great selection of wines and"
97,"Warm welcome and magnificent setting.
Discovered by a GPS error.
Complete and appetizing breakfast. …",5,24,a GPS error detected a warm welcome and magnificent setting. complete and appetizing breakfast...................................................................................................................
98,"So far everyone in every restaurant in Greece has been very hospitable, cheerful and generous. In this restaurant they seem stressed and rushed, when it is already a bit full you notice the stress. The staff gives the impression that they …",2,36,"every restaurant in Greece has been very hospitable, cheerful and generous. the staff gives the impression that they... are... a...... and they are a......................................................................................."
99,"Reached by boat or a 7-minute walk along a goat path from the lively port of Loutro, the small bay with the only hotel/restaurant feels like an enchanted place. A place of peace, relaxation, good food and friendly gastronomy. And a good starting point for hikes, especially to the nearby Aradena Gorge.",4,96,"the small bay feels like an enchanted place. a place of peace, relaxation, good food and friendly gastronomy. a good starting point for hikes, especially to the nearby Aradena Gorge. if you are a tourist, you can go to the Aradena Gorge. if you are a tourist or a tourist, you can go to the Aradena Gorge. if you are"
100,"Remote but accessible, family-friendly and warm, you eat very good traditional Greek cuisine at an affordable price. Close to marmara and loutro without having the disadvantages. We come back regularly as a family. The rooms are simple but all have air conditioning, fan, hairdryer and terrace overlooking the sea...",5,72," the rooms are simple but all have air conditioning, fan, hairdryer and terrace overlooking the sea. the rooms are simple but all have air conditioning, fan, hairdryer and terrace overlooking the sea. we come back regularly as a family."
101,"at first I thought I would feel like a prisoner of this place which is a bit difficult to reach and leave, but I soon realized that it is the starting point to go to Marmara, Sweet waters and of course Loutro. The quality of the food is …",4,120,the quality of the food is......... and the food is...... the food is...... and the food is......................................................................................................
102,"Secluded, pleasant, only accessible on foot or by boat - great. The food is good, after a while there's a bit of a lack of variety (but that's generally the case in Crete; fish, feta and tomatoes then become a bit bland) but a great tip for …",4,48,"the food is good, after a while there's a bit of a lack of variety. fish, feta and tomatoes then become a bit bland. a great tip for... and a great way to eat. a great... and a great way to eat. a great... and a great way to eat. a great... and a great way to eat."
103,"Thank you for the always very pleasant welcome and service at the Old Phoenix!|Very good grilled sardines. We also come back for the dakos, and always a free raki at the end of the meal - have a good visit and hope you like this place, the beach is also nice",5,12,"the dakos are a great place to visit. the beach is also nice. we also come back for the dakos, and always a free raki at the end of the meal. we also come back for the dakos, and always a free raki at the end of the meal - have a good visit and hope you like this place. the beach is also nice. a good raki at the end of"
104,"Those who like peace and quiet will certainly appreciate this place. You can reach the hotel by taking the boat from Loutro. The rooms are simple, but the view from your balcony is priceless. Loutro can be reached on foot within 30 minutes …",4,132," you can reach the hotel by taking the boat from Loutro. the rooms are simple, but the view from your balcony is priceless. you can reach the hotel by taking the boat from Loutro. the hotel is located in a quiet area of the city. the hotel is located in the heart of the city... and is located in the heart of the city. the hotel is located in the heart of the city centre."
105,Fantastic! Food comes straight from the sea for you. To get there by car it is better to rent a 4X4 :-) By car it is doable if you are not afraid of heights and can drive well and quietly. By boat or on foot it is a lot easier and is a …,5,96, by car it is doable if you are not afraid of heights and can drive well and quietly. by boat or on foot it is a lot easier and is a lot easier.
106,"Quiet place, ideal for a relaxing holiday. The road to get there is a bit long, unpaved and bumpy. Friendly and helpful owners, slightly rustic waiters (all male). Clean rooms. A somewhat Spartan place, not as refined as it seems from the outside. ""Seaside refuge"" environment. Advised",4,96," a quiet, quiet place, ideal for a relaxing holiday. the road to get there is a bit long, unpaved and bumpy. a somewhat Spartan place, not as refined as it seems from the outside. Advised by a local spokesman, the ""seaside refuge"" environment is a great place to stay."
107,"either by boat or with an off-road vehicle but then an enchanting place. I just ate with a breathtaking view of a cobalt blue sea. Mediterranean atmosphere like you don't meet anymore, simple people like those of the past. good food and unique mountain honey.",4,120,a cobalt blue sea is a Mediterranean atmosphere like you don't meet anymore. good food and unique mountain honey. a good food and unique mountain honey. a good food and a good food. a good food and a good food. a good food and a good food. a good food and a good food. a good food. a good food. a good food
108,"Loutro is a little gem in southwest Crete. Because you can only reach the town by car by ferry, Loutro is practically car-free. The place, decorated entirely in white and blue, is located in a sheltered bay with crystal clear water.||The …",4,72, Loutro is a little gem in southwest Crete. it is located in a sheltered bay with crystal clear water. the place is a little gem in southwest Crete. it is located in a sheltered bay with crystal clear water.
109,"Close to the Aradena and Loutro gorges and on the water's edge, this place is ideal for those who want to stop time. The welcome is very friendly, the staff ready to find solutions for our comfort. The rooms are simple. I recommend the walk from there to Hora Sfakion, on the mountainside, then return by ferry to Loutro.",5,72," close to the Aradena and Loutro gorges and on the water's edge, this place is ideal for those who want to stop time. the rooms are simple and the staff are ready to find solutions for our comfort."
110,A very nice place to relax. The rooms are old but the view and proximity to the clear sea are beautiful. The food in the evening is also great. The breakfast didn't convince us.,4,48, the rooms are old but the view and proximity to the clear sea are beautiful. the breakfast didn't convince us. the breakfast was excellent.
111,"07.10.2019. I didn't eat there or stay there. I only passed through it while hiking but I actually found that it is an excellent landmark, very precisely located by Google, for hiking either towards Marmara beach to the west or towards the …",5,48,"07.10.2019. a landmark, very precisely located by Google. it is ideal for hiking either towards marmara beach to the west or towards the. west. it is an excellent landmark, very precisely located by Google. it is a perfect location for hiking either towards the......................................................"
112,"Nicely located restaurant, unfortunately the service is not the best. The waiter extremely
musty and not exactly friendly. 👎 …",4,24,the waiter is extremely musty and not exactly friendly. the restaurant is located in the heart of the city. the restaurant is a very good place to stay. the restaurant is very close to the city centre and the city centre. the restaurant is very close to the city centre and the city centre. the restaurant is very close to the city centre and the city centre. the restaurant is very close to the city centre and the city centre. the restaurant
113,"The Old Phoenix manages to reach 3 balls only thanks to the location and the tranquility emanating from the rooms with a suggestive sea view, certainly not thanks to the terrible cuisine and the desire of the staff to make you feel …",3,96, the old Phoenix manages to reach 3 balls only thanks to the location and the tranquility emanating from the rooms with a suggestive sea view. the staff have a desire to make you feel...
114,Old Phoenix is ​​definitely recommended the hotel and the view are fantastic and the service 5/5 the waiter is very funny and nice Bio I have been there many times now and I love it,5,10, old Phoenix is definitely recommended the hotel and the view are fantastic and the service 5/5 the waiter is very funny and nice Bio I have been there many times now and I love it. the view are fantastic and the service 5/5 the waiter is very funny and nice and the service 5/5 the waiter is very funny and nice. i love it and the view are fantastic and the view are fantastic. the hotel is a great place to stay.
115,You have to be motivated to get there because there is no road but a steep and winding track... The game is worth the effort,5,10, you have to be motivated to get there because there is no road but a steep and winding track. the game is worth the effort.
116,"Scammers / Liars / Απατεώνες - Αvoid this place, its dirty, no charm and waiters stare at you like rapists. To be avoided at all costs: dirty, waiters who complain and the boss who cheats on room prices at the start. Να το αποφύγετε. …",1,72, 
117,"We arrived at 7 p.m. without reservation, the boss gave us a room and served us a very good meal, very welcoming and respectful staff. The next day we went to Loutro on foot, a very good path connecting the hotel and Loutro. We will stay again if we come to the area",5,48," the boss gave us a room and served us a very good meal. the next day we went to Loutro on foot, a very good path connecting the hotel and Loutro. we will stay again if we come to the area if we come to the area."
118,"Magnificent place, very pleasant and kind staff but the bedding is very very hard and the tavern serves traditional dishes for tourists... Finally the road, if you are adventurous, go there, otherwise take the boat to Chora Sfakion.",3,24, the tavern serves traditional dishes for tourists. take the boat to Chora Sfakion. the tavern is a great place to visit.
119,"Magnificent landscape, even more beautiful than the postcards. Warm welcome, the people are lovely. Authentic cuisine, you will eat very well.
Absolutely have!
Is unique, is my paradise!!!",5,72,"Authentic cuisine, you will eat very well. Is unique, is my paradise!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
120,"We arrived in Old Phoenix in the afternoon via sea. The boat slowly slipped into a bay of turquoise water where the hotel was beautifully situated at the end, and we were welcomed by a friendly host. Every morning we woke up to only sounds …",5,72,the boat slowly slipped into a bay of turquoise water. every morning we woke up to only sounds..................................................................................................................
121,"Beach okay, service rather unfriendly and money-oriented, a shame. Ate there today, quite a rip off there 4 euros for bread that I didn't order and 4 euros for horrible tzatziki. Avoid.",1,12," ate there today, quite a rip off there 4 euros for bread that I didn't order and 4 euros for horrible tzatziki. avoid."
122,We arrive here after a short hike from Loutro.||The hotel and restaurant are located in an adorable bathing bay.||You are greeted so warmly by the staff and genuine dishes prepared by the family are served.||It is as if you find yourself 50 …,5,36,the hotel and restaurant are located in an adorable bathing bay. the staff are greeted so warmly by the staff and authentic dishes prepared by the family are served. the hotel and restaurant are located in an adorable bathing bay. it is as if you find yourself 50... and you are greeted so warmly by the staff and genuine dishes prepared by the family are served. if you find yourself 50... it is a great place
123,Beautiful little bay with paid sunbeds and umbrellas. Tavern where we enjoyed excellent grilled sardines.,4,24,grilled sardines were enjoyed at a little bay. grilled sardines were enjoyed by the sardines and grilled sardines. sardines were grilled and grilled by the sardines in the little bay. sardines are a great place to relax if you are looking for a nice sardines. sardines are a must-see for a
124,"The palm of Sfakion province, is a quiet deserted port located on the South side of the WHITE MOUNTAINS
The family of ""ATHITIDES"" …",5,36," the palm of Sfakion province, is a quiet deserted port located on the south side of the WHITE MOUNTAINS. the family of ""ATHITIDES"" is a family of ""ATHITIDES"""
125,"Great location of course!
Delicious seasonal meats!",5,7,great location of course! Delicious seasonal meats. a great location for a great meal.......................................
126,"Great peaceful place to relax and enjoy your holiday. Not a super luxury place, but nice and clean. Wonderful nature and lovely close to Loutro, where you can shop and enjoy good local food. The water is among some of the best I have swum …",5,84,peaceful place to relax and enjoy your holiday. nice and clean. close to the beach and shops. the water is among some of the best I have swum.. the water is among some of the best I have swum.. the water is among some of the best I have swum.. the water is among some of the best I have swum.. the water is among
127,Excellent beach with really beautiful spots to swim and appreciate the true colors of Greece,5,12,a great beach with really beautiful spots to swim and appreciate the true colors of Greece. a great beach with really beautiful spots to swim and appreciate the true colors of Greece. a great beach with really beautiful spots to swim and appreciate the true colors of Greece. a great beach with a beautiful beaches. a great beach with a beautiful beaches. a beautiful beach with beautiful beaches to swim and appreciate the true colors of Greece. a
128,"Nice service, good food, friendly people, good rooms and beautiful scenery. Definitely worth a visit 👍 …",5,12," nice service, good food, friendly people, good rooms and beautiful scenery. Definitely worth a visit."
129,"getting here is easy by boat from Chora Sfakion and much more difficult by car by taking a detour - the road is very narrow and intended for off-road vehicles, much worse than on Balos. But the water here is crystal clear, the boats seem to float in the air.",4,60," the road is very narrow and intended for off-road vehicles, much worse than on Balos. but the water here is crystal clear, the boats seem to float in the air."
130,"If you want time and peace for reflection, this hotel is excellent. They are all alone in a bay and have an excellent restaurant. There are relatively few tourists and you have access to hikes in the mountains, as well as in a large gorge. …",5,120," the hotel is all alone in a bay and have an excellent restaurant. there are relatively few tourists and you have access to hikes in the mountains, as well as in a large gorge. there are relatively few tourists and you have access to hikes in the mountains, as well as in a large gorge."
131,"For the first time, my wife and I have taken a vacation the way a vacation should be taken. After 14 days in Old Phoenis, we are totally rested and ready for the next year's work. It is the first time we visited the place, and we really …",5,144," the first time we visited the place is 14 days in old Phoenis. it is the first time we visited the place, and we are rested and ready for the next year's work. it is the first time we visited the place, and we are really... ready for the next year's work. the place is a great place to visit."
132,"Unique location that came out of heaven!! The sea is crystal blue and the waters very clear!
I highly recommend it, however, to get there you will have a little difficulty …",5,24," unique location that came out of heaven!! The sea is crystal blue and the waters very clear! I highly recommend it, however, to get there you will have a little difficulty."
133,"We came to Old Phoenix by car - it is not recommended if you do not have a car with good ground clearance and good nerves. The hotel is beautifully situated in the bay west of Loutro. There is a simple standard, friendly service and clean …",4,84," the hotel is situated in the bay west of Loutro. it is a simple standard, friendly service and clean. it is not recommended if you do not have a car with good ground clearance and good nerves. the hotel has a simple standard, friendly service and clean..."
134,Obviously the setting is magnificent but it is a real shame that the managers and staff are not welcoming.... they don't care! if you go there check the price of your nights when you arrive. Disappointing.,1,72,managers and staff are not welcoming. check the price of your nights when you arrive. if you go there check the price of your nights when you arrive. if you go there check the price of your nights when you arrive. if you go there check the price of your nights when you arrive. if you go there check the price of your nights when you arrive. if you go there check the price of your nights when you arrive.
135,"Arrived on a warm June evening by sea. The surroundings were as beautiful as a postcard, the sounds were grasshoppers, lapping waves and goats.||Good traditional food served on checkered tablecloths with the finest sea view.||You almost have to pinch your arm not to believe it's just a dream.",5,72," the surroundings were as beautiful as a postcard, the sounds were grasshoppers, lapping waves and goats. the atmosphere was as beautiful as a postcard, the sounds were grasshoppers, lapping waves and goats."
136,"Just, perfect, very friendly staff, comfortable rooms, delicious food, very comfortable beaches, only drawback, in the morning, the local taxi boat warms up its engine and during breakfast, it's not the most pleasant, but, fault quickly erased when you get up around 10 a.m., so go for it, it's worth it",4,48,"the taxi boat warms up its engine in the morning and it's not the most pleasant. it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it, it's worth it,"
137,"Heavenly place in a small hidden cove, the restaurant is nice but the hotel is a little disappointing: cold water in the shower, wifi too slow to use, very dirty floor.",3,48," the hotel is a little disappointing: cold water in the shower, wifi too slow to use, very dirty floor."
138,"Picturesque view, sitting right on the water. Just had something to drink in the restaurant. But you can settle here.",5,48,"pictures of the view, sitting right on the water. the restaurant is located in the heart of the city. the restaurant is a great place to relax and relax. if you are looking for a nice place to relax, you can relax in the restaurant. if you are looking for a nice place to relax, you can relax in the restaurant. if you are looking for a nice place to relax, you can relax in the restaurant"
139,"It is a resort in South Crete. The rooms are clean although many of them are very old. The owners are helpful and quite willing. The food is very good but expensive! I justify the cost as the food is brought in by boat, but I guess a lot of it is home grown. The view from the rooms is perfect!!!",4,120,"the rooms are clean although many of them are very old. the food is brought in by boat, but a lot of it is home grown. the view from the rooms is perfect. the owners are helpful and quite willing. the food is very good but expensive. the food is very good but expensive. the owners are helpful and quite willing. the owners are helpful and quite willing. the owners are helpful and quite willing. the food is very"
140,"Badly received twice over two years, we've been coming to the area for six years, now we don't stop...when we go to Marmara Beach...we prefer to eat at Loutro or Marmara.",1,72," badly received twice over two years, we've been coming to the area for six years. we prefer to eat at Loutro or Marmara."
141,"Words are unnecessary for Finikas of Sfakia! ||Small port of the South, next to Loutro. The crystal clear waters invite you! And the restaurant above, offers traditional local flavors in a Parisian environment on the ground floor of an old …",5,72,Finikas of Sfakia is located in the south of the city. the restaurant offers traditional local flavors in a Parisian environment. the restaurant is located on the ground floor of an old... and offers a variety of local flavors. the restaurant is located in the heart of the city. the restaurant is located in the heart of the city. the restaurant is a... and is a great place to visit....
142,"A magnificent place in the south of the ridge, a tavern with quality cuisine, a warm welcome from the waiter who made the effort to speak French",5,24," a magnificent place in the south of the ridge, a tavern with quality cuisine, a warm welcome from the waiter who made the effort to speak French. the waiter who made the effort to speak French, made the effort to speak French."
143,"I have been a very long-time regular (15 years) at this guesthouse in southern Crete.||The charming and attentive welcome from the family and staff, the simple and delicious food, the tranquility, the charm of the site and the beauty of this small cove, make it a ||restful and beneficial stay.",5,48," guesthouse in southern Crete has been a regular for 15 years. the charming welcome from the family and staff, the simple and delicious food, the tranquility, the charm of the site and the beauty of this small cove make it a ||restful and beneficial stay."
144,"Hidden spot, you can swim and snorkel there. Crystal clear water with lots of fish.",4,48,"crystal clear water with lots of fish. hidden spot, you can swim and snorkel there. crystal clear water with lots of fish. a scuba dive is a great way to swim and snorkel there. if you are looking for a spot, you can swim and snorkel there. if you are looking for a spot, you can swim and snorkel there. if you are looking for a spot, you can swim and snorkel there"
145,Very good food and warm people...,5,10,very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people... very good food and warm people...
146,"Very nice beach.
Good service, very nice tastes in the tavern.",5,12,"very nice beach. good service, very nice tastes in the tavern. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach. nice beach."
147,Beautiful beach with emerald waters. The food in the tavern is excellent.. Don't forget to try the zigariasto and the Sfacian pies for breakfast,5,60, the food in the tavern is excellent. try the zigariasto and the Sfacian pies for breakfast. the food in the tavern is excellent. the tavern is a beautiful beach with emerald waters. the food in the tavern is excellent. the tavern is a beautiful beach with emerald waters.
148,Expensive tavern for no reason!! far away!!!,1,7,expensive tavern for no reason!! far away!!! far away!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
149,"Food of a high standard with a beautiful view of the bay, despite the difficult commute, it is really worth it",5,24,"food of a high standard with a beautiful view of the bay, despite the difficult commute. it is really worth it, despite the difficult commute, it is really worth it. it is also worth it, despite the difficult commute, it is really worth it. it is a great place to get to the beach, if you are looking for a good meal. if you are looking for a good meal, it is a"
150,"Very nicely located and not too crowded.
Prices are ok",5,12,very nice location and not too crowded. prices are ok. very nice location and not too crowded. a good location. a good location. a good location. a good location. a good location. a good location. a good location. a good location. a good location. a good location. a good location. a good location.
151,"The place is just perfect, the absolute relaxation!!! The food is excellent in the tavern. Hospitable people!",5,24," the food is excellent in the tavern. the place is just perfect, the absolute relaxation. the food is excellent in the tavern. the tavern is a great place to relax."
152,Very beautiful and pleasant place..with hospitable people and a very nice atmosphere..,5,48, very beautiful and pleasant place with hospitable people and a very nice atmosphere.
153,A real paradise on earth of quiet and meditation.,5,12,a paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise on earth of quiet and meditation. a real paradise
154,calm place to relax!! ideal for swimming and for children!! calm sea and the main Wi-Fi Code!!,5,72, calm place to relax!! ideal for swimming and for children. the main Wi-Fi code is the main Wi-Fi code.
155,"Difficult access, small beach with pebbles and not clean.",3,24,"small beach with pebbles and not clean. easy access, small beach with pebbles and not clean. a few minutes walk from the beach - a few minutes walk from the beach - to the beach - a few minutes walk from the beach - a few minutes walk from the beach - a few minutes from the beach - a few minutes from the beach - a few minutes from the beach - a"
156,The service was very slow and the Greek salad was the most expensive and smallest from the visit to Crete,2,24, the service was very slow and the Greek salad was the most expensive and smallest from the visit to Crete. the service was very slow and the Greek salad was the most expensive and smallest from the visit to Crete.
157,Delicious food and friendly service at affordable prices 😁 …,5,10,Delicious food and friendly service at affordable prices.....................................................................................................................................
158,"Fantastic location...
Incredible sea.... Turquoise waters...",5,24,fantastic location... Turquoise waters... Turquoise waters... Turquoise waters..........................................
159,Excellent location for relaxing and enjoying the sea and landscape,5,24,excellent location for relaxing and enjoying the sea and landscape. excellent location for relaxing and enjoying the sea and landscape. excellent location for relaxing and enjoying the sea and landscape. good location for relaxing and relaxing. good location for relaxing and relaxing. good location for relaxing and relaxing. good location for relaxing and relaxing. good location for relaxing and relaxing. good location for relaxing and relaxing. good location for relaxing and relaxing. good location for relaxing and relaxing
160,I've been going to this place for as long as I've been alive and I've never gotten bored,5,48,i've been going to this place for as long as I've been alive and I've never gotten bored bored. i've been going to this place for as long as I've been alive and I've never gotten bored bored. i've been going to this place for as long as I've been alive and I've never gotten bored bored. i've been going to this place for as long
161,"Here we only took a bath before leaving, after having been to Loutro, this is also worth it.",4,72," here we only took a bath before leaving, after having been to Loutro. here we only took a bath before leaving, this is also worth it."
162,Beautiful place ! Clear water ! Quiet and welcoming environment!,5,24,beautiful place! Clear water! Quiet and welcoming environment. Quiet and welcoming environment. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean. clean and clean.
163,"Charming place - nice owner - food is good, but sometimes a bit greasy",4,84,"charming place - nice owner - food is good, but sometimes a bit greasy. it is a nice place to stay. it is a nice place to stay. it's a nice place to stay. it's a good place to stay. it's a nice place to stay. it's a nice place to stay. it's a nice place to stay. it'"
164,"Fabulous place, cut off from the world, simple but so authentic🏖 very warm welcome …",5,84," a lovely place, cut off from the world, simple but so authentic"
165,Super nice place with unique charm!,5,12,super nice place with unique charm! super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with unique charm. super nice place with
166,"An excellent place for a secluded holiday for lovers of the sea, sun, underwater photography and hiking.",4,72," an excellent place for a secluded holiday for lovers of the sea, sun, underwater photography and hiking."
167,Very helpful polite staff and good food,5,24,very helpful polite staff and good food. very helpful polite staff and good food. good food and good food. very helpful polite staff and helpful polite staff. good food and good food. very helpful polite staff and friendly staff. very helpful polite staff and helpful staff. good food and good food. good food and good food. good food. good food. good food. good food. good food. good food
168,"Authentic, simple, perfect!",5,7,"Authentic, simple, perfect! Authentic, simple, perfect!.........................................."
169,"Very good cuisine, friendly staff, gladly again",5,48,"very good cuisine, friendly staff, gladly again again. good cuisine, good cuisine, friendly staff, good food, good cuisine, friendly staff, friendly staff, good food. good cuisine, good cuisine, good cuisine, friendly staff, good food, good food. good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food."
170,Nice tavern on a secluded beach.,3,12, Nice tavern on a secluded beach.
171,Fantastically beautiful nature. Lovely food and super service.,5,48,fantastically beautiful nature. lovely food and super service. great food and super service. great food and great service. great food and great food. great food and great service. great food and great food. great food and great food. great food and great food. great food and great food. great food and great food. great food and great food. great food and great food. great food and great food. great food
172,Good service and reasonable prices. Fantastic location and good food.,5,60,good service and reasonable prices. good food and good food. good location and good food. good food and good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food
173,Great hospitality and unique people!!,5,48,great hospitality and unique people!!! great hospitality and unique people!!!.........................................
174,"Beautiful environment, good food, clean sea",5,60,"beautiful environment, good food, clean sea. clean sea, good food, good food, clean sea. nice environment, good food, clean sea. clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea, clean sea,"
175,Nice bar/restaurant on a lovely beach,5,24,Nice bar/restaurant on a lovely beach on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on a lovely beach. nice bar/restaurant on
176,Finkas vendi ma imir per pushume ushcimet mate mira,5,72, finkas vendi ma imir per pushume ushcimet mate mira mate. mira vendi ma imir per pushume ushcimet mate mira mate.
177,Very good service,5,9,very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service. very good service.
178,"Good food, relaxed environment",4,24,"good food, relaxed environment, good food, good food, good food, good food, relaxed environment. good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food, good food,"
179,"...a great, quiet place in the southwest of Crete...",5,48,"a great, quiet place in the southwest of Crete... a great, quiet place in the southwest of Crete... a great, quiet place in the southwest of Crete... a great, quiet place in the southwest of Crete... a great, quiet place in the southwest of Crete... a great, quiet place in the southwest of Crete... a great, quiet place in the southwest of Crete... a great, quiet place in the"
180,Very good restaurant and super nice,4,84,very good restaurant and super nice restaurant. good restaurant and super nice. good restaurant and super nice. good restaurant. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good food. good
181,Magical atmosphere and tranquility!,4,72, Magical atmosphere and tranquility!
182,The perfect view!,5,24,the perfect view!. the perfect view!. the perfect view!.. the perfect view!. the perfect view!. the perfect view!. the perfect view!. the perfect view!. the perfect view!.. the perfect view!. the perfect view!. the perfect view!. the perfect view!. the perfect view!. the perfect view!. the perfect view!
183,Yummy,3,24,yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy. yummy
184,Very beautiful!,5,24,very beautiful!................................................
185,Flawless,5,48,flawless & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn & snn
186,Everything is great!!,5,36,everything is great!!! everything is great!!!...........................................
187,Amazing place,5,120,Amazing place................................................
188,Magical place.,5,36,Magical place - the world's most beautiful place - is the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world's most beautiful place - the world'
