,text,stars,months_ago,summary
118,"Magnificent place, very pleasant and kind staff but the bedding is very very hard and the tavern serves traditional dishes for tourists... Finally the road, if you are adventurous, go there, otherwise take the boat to Chora Sfakion.",3,24,"If you are adventurous, go there, otherwise take the boat to Chora Sfakion.
Magnificent place, very pleasant and kind staff but the bedding is very very hard."
119,"Magnificent landscape, even more beautiful than the postcards. Warm welcome, the people are lovely. Authentic cuisine, you will eat very well.
Absolutely have!
Is unique, is my paradise!!!",5,72,"Authentic cuisine, you will eat very well.
Absolutely have!
Is unique, is my paradise!!!"
120,"We arrived in Old Phoenix in the afternoon via sea. The boat slowly slipped into a bay of turquoise water where the hotel was beautifully situated at the end, and we were welcomed by a friendly host. Every morning we woke up to only sounds …",5,72,"The boat slowly slipped into a bay of turquoise water.
Every morning we woke up to only sounds …"
121,"Beach okay, service rather unfriendly and money-oriented, a shame. Ate there today, quite a rip off there 4 euros for bread that I didn't order and 4 euros for horrible tzatziki. Avoid.",1,12,"Beach okay, service rather unfriendly and money-oriented, a shame.
Ate there today, quite a rip off there 4 euros for bread that I didn't order.
AvoidAvoid."
122,We arrive here after a short hike from Loutro.||The hotel and restaurant are located in an adorable bathing bay.||You are greeted so warmly by the staff and genuine dishes prepared by the family are served.||It is as if you find yourself 50 …,5,36,"The hotel and restaurant are located in an adorable bathing bay.
It is as if you find yourself 50 …"
123,Beautiful little bay with paid sunbeds and umbrellas. Tavern where we enjoyed excellent grilled sardines.,4,24,"Beautiful little bay with paid sunbeds and umbrellas.
Tavern where we enjoyed excellent grilled sardines."
124,"The palm of Sfakion province, is a quiet deserted port located on the South side of the WHITE MOUNTAINS
The family of ""ATHITIDES"" …",5,36,"The palm of Sfakion province is a quiet deserted port located on the South side of the WHITE MOUNTAINS.
The family of ""ATHITIDES"" …"
125,"Great location of course!
Delicious seasonal meats!",5,7,"Great location of course!
Delicious seasonal meats!"
126,"Great peaceful place to relax and enjoy your holiday. Not a super luxury place, but nice and clean. Wonderful nature and lovely close to Loutro, where you can shop and enjoy good local food. The water is among some of the best I have swum …",5,84,"Great peaceful place to relax and enjoy your holiday.
Beautiful nature and lovely close to Loutro, where you can shop.
Water is among some of the best I have swum."
127,Excellent beach with really beautiful spots to swim and appreciate the true colors of Greece,5,12,Excellent beach with really beautiful spots to swim and appreciate the true colors of Greece.
128,"Nice service, good food, friendly people, good rooms and beautiful scenery. Definitely worth a visit 👍 …",5,12,"Nice service, good food, friendly people, good rooms and beautiful scenery.
 Definitely worth a visit."
129,"getting here is easy by boat from Chora Sfakion and much more difficult by car by taking a detour - the road is very narrow and intended for off-road vehicles, much worse than on Balos. But the water here is crystal clear, the boats seem to float in the air.",4,60,"Getting here is easy by boat from Chora Sfakion and much more difficult by car.
The road is very narrow and intended for off-road vehicles, much worse than on Balos.
But the water here is crystal clear, the boats seem to float in the air."
130,"If you want time and peace for reflection, this hotel is excellent. They are all alone in a bay and have an excellent restaurant. There are relatively few tourists and you have access to hikes in the mountains, as well as in a large gorge. …",5,120,"If you want time and peace for reflection, this hotel is excellent.
They are all alone in a bay and have an excellent restaurant.
You have access to hikes in the mountains, as well as in a large gorge."
131,"For the first time, my wife and I have taken a vacation the way a vacation should be taken. After 14 days in Old Phoenis, we are totally rested and ready for the next year's work. It is the first time we visited the place, and we really …",5,144,"""For the first time, my wife and I have taken a vacation the way a vacation should be taken""
""After 14 days in Old Phoenis, we are totally rested and ready for the next year's work"""
132,"Unique location that came out of heaven!! The sea is crystal blue and the waters very clear!
I highly recommend it, however, to get there you will have a little difficulty …",5,24,"Unique location that came out of heaven!! The sea is crystal blue and the waters very clear!
I highly recommend it, however, to get there you will have a little difficulty …"
133,"We came to Old Phoenix by car - it is not recommended if you do not have a car with good ground clearance and good nerves. The hotel is beautifully situated in the bay west of Loutro. There is a simple standard, friendly service and clean …",4,84,"The hotel is beautifully situated in the bay west of Loutro.
It is not recommended if you do not have a car with good ground clearance and good nerves."
134,Obviously the setting is magnificent but it is a real shame that the managers and staff are not welcoming.... they don't care! if you go there check the price of your nights when you arrive. Disappointing.,1,72,The setting is magnificent but it is a real shame that the managers and staff are not welcoming.... they don't care! if you go there check the price of your nights when you arrive.
135,"Arrived on a warm June evening by sea. The surroundings were as beautiful as a postcard, the sounds were grasshoppers, lapping waves and goats.||Good traditional food served on checkered tablecloths with the finest sea view.||You almost have to pinch your arm not to believe it's just a dream.",5,72,"The sounds of grasshoppers, lapping waves and goats were as beautiful as a postcard.
Good traditional food served on checkered tablecloths with the finest sea view."
136,"Just, perfect, very friendly staff, comfortable rooms, delicious food, very comfortable beaches, only drawback, in the morning, the local taxi boat warms up its engine and during breakfast, it's not the most pleasant, but, fault quickly erased when you get up around 10 a.m., so go for it, it's worth it",4,48,"In the morning, the local taxi boat warms up its engine and during breakfast, it's not the most pleasant.
But, fault quickly erased when you get up around 10 a.m., so go for it. It's worth it.
Just, perfect, very friendly staff, comfortable rooms, delicious food, very comfortable beaches."
137,"Heavenly place in a small hidden cove, the restaurant is nice but the hotel is a little disappointing: cold water in the shower, wifi too slow to use, very dirty floor.",3,48,"Heavenly place in a small hidden cove, the restaurant is nice but the hotel is a little disappointing.
Cold water in the shower, wifi too slow to use, very dirty floor."
138,"Picturesque view, sitting right on the water. Just had something to drink in the restaurant. But you can settle here.",5,48,"Picturesque view, sitting right on the water. Just had something to drink in the restaurant. But you can settle here."
139,"It is a resort in South Crete. The rooms are clean although many of them are very old. The owners are helpful and quite willing. The food is very good but expensive! I justify the cost as the food is brought in by boat, but I guess a lot of it is home grown. The view from the rooms is perfect!!!",4,120,"The rooms are clean although many of them are very old.
The food is very good but expensive!
The view from the rooms is perfect!!!"
140,"Badly received twice over two years, we've been coming to the area for six years, now we don't stop...when we go to Marmara Beach...we prefer to eat at Loutro or Marmara.",1,72,"Badly received twice over two years, we've been coming to the area for six years.
Now we don't stop...when we go to Marmara Beach...we prefer to eat at Loutro."
141,"Words are unnecessary for Finikas of Sfakia! ||Small port of the South, next to Loutro. The crystal clear waters invite you! And the restaurant above, offers traditional local flavors in a Parisian environment on the ground floor of an old …",5,72,"Finikas of Sfakia is a small port of the South, next to Loutro.
The restaurant above, offers traditional local flavors in a Parisian environment."
142,"A magnificent place in the south of the ridge, a tavern with quality cuisine, a warm welcome from the waiter who made the effort to speak French",5,24,"A magnificent place in the south of the ridge, a tavern with quality cuisine.
A warm welcome from the waiter who made the effort to speak French."
143,"I have been a very long-time regular (15 years) at this guesthouse in southern Crete.||The charming and attentive welcome from the family and staff, the simple and delicious food, the tranquility, the charm of the site and the beauty of this small cove, make it a ||restful and beneficial stay.",5,48,"I have been a very long-time regular (15 years) at this guesthouse in southern Crete.
||The charming and attentive welcome from the family and staff, the simple and delicious food, the tranquility, the charm of the site and the beauty of this small cove make it a ||restful and beneficial stay."
144,"Hidden spot, you can swim and snorkel there. Crystal clear water with lots of fish.",4,48,"Crystal clear water with lots of fish is a great spot for snorkeling.
You can swim and snorkel in Crystal clear water."
145,Very good food and warm people...,5,10,Very good food and warm people...
146,"Very nice beach.
Good service, very nice tastes in the tavern.",5,12,"Very nice beach.
Good service, very nice tastes in the tavern."
147,Beautiful beach with emerald waters. The food in the tavern is excellent.. Don't forget to try the zigariasto and the Sfacian pies for breakfast,5,60,"Beautiful beach with emerald waters.
The food in the tavern is excellent.
Don't forget to try the zigariasto and the Sfacian pies for breakfast."
148,Expensive tavern for no reason!! far away!!!,1,7,Expensive tavern for no reason!! far away!!!
149,"Food of a high standard with a beautiful view of the bay, despite the difficult commute, it is really worth it",5,24,"Food of a high standard with a beautiful view of the bay, despite the difficult commute, it is really worth it."
150,"Very nicely located and not too crowded.
Prices are ok",5,12,"Very nicely located and not too crowded.
Prices are ok."
151,"The place is just perfect, the absolute relaxation!!! The food is excellent in the tavern. Hospitable people!",5,24,"The place is just perfect, the absolute relaxation!!! The food is excellent in the tavern.
Hospitable people!"
152,Very beautiful and pleasant place..with hospitable people and a very nice atmosphere..,5,48,Very beautiful and pleasant place..with hospitable people and a very nice atmosphere..
153,A real paradise on earth of quiet and meditation.,5,12,A real paradise on earth of quiet and meditation.
154,calm place to relax!! ideal for swimming and for children!! calm sea and the main Wi-Fi Code!!,5,72,calm place to relax!! ideal for swimming and for children!! calm sea and the main Wi-Fi Code!!
155,"Difficult access, small beach with pebbles and not clean.",3,24,"Difficult access, small beach with pebbles and not clean."
156,The service was very slow and the Greek salad was the most expensive and smallest from the visit to Crete,2,24,The service was very slow and the Greek salad was the most expensive and smallest from the visit to Crete.
157,Delicious food and friendly service at affordable prices 😁 …,5,10,Delicious food and friendly service at affordable prices.
158,"Fantastic location...
Incredible sea.... Turquoise waters...",5,24,Fantastic location...Incredible sea.... Turquoise waters...
159,Excellent location for relaxing and enjoying the sea and landscape,5,24,Excellent location for relaxing and enjoying the sea and landscape.
160,I've been going to this place for as long as I've been alive and I've never gotten bored,5,48,"""I've been going to this place for as long as I've been alive and I've never gotten bored"""
161,"Here we only took a bath before leaving, after having been to Loutro, this is also worth it.",4,72,"Here we only took a bath before leaving, after having been to Loutro, this is also worth it."
162,Beautiful place ! Clear water ! Quiet and welcoming environment!,5,24,Beautiful place! Clear water! Quiet and welcoming environment!
163,"Charming place - nice owner - food is good, but sometimes a bit greasy",4,84,"Charming place - nice owner - food is good, but sometimes a bit greasy."
164,"Fabulous place, cut off from the world, simple but so authentic🏖 very warm welcome …",5,84,"Fabulous place, cut off from the world, simple but so authentic🏖 very warm welcome …"
165,Super nice place with unique charm!,5,12,Super nice place with unique charm!
166,"An excellent place for a secluded holiday for lovers of the sea, sun, underwater photography and hiking.",4,72,"An excellent place for a secluded holiday for lovers of the sea, sun, underwater photography and hiking."
167,Very helpful polite staff and good food,5,24,"Very helpful polite staff and good food.
Good food and polite polite staff."
168,"Authentic, simple, perfect!",5,7,"Authentic, simple, perfect!"
169,"Very good cuisine, friendly staff, gladly again",5,48,"Very good cuisine, friendly staff, gladly again."
170,Nice tavern on a secluded beach.,3,12,"Nice tavern on a secluded beach with secluded beaches.
The tavern is located on the secluded coast of South Africa."
171,Fantastically beautiful nature. Lovely food and super service.,5,48,Fantastically beautiful nature. Lovely food and super service.
172,Good service and reasonable prices. Fantastic location and good food.,5,60,"Good service and reasonable prices.
 Fantastic location and good food."
173,Great hospitality and unique people!!,5,48,Great hospitality and unique people!!
174,"Beautiful environment, good food, clean sea",5,60,"Beautiful environment, good food, clean sea and good environment."
175,Nice bar/restaurant on a lovely beach,5,24,Nice bar/restaurant on a lovely beach.
176,Finkas vendi ma imir per pushume ushcimet mate mira,5,72,Finkas vendi ma imir per pushume ushcimet mate mira.
177,Very good service,5,9,"Very good service, very good service."
178,"Good food, relaxed environment",4,24,"Good food, relaxed environment and good food.
Good food and relaxed environment."
179,"...a great, quiet place in the southwest of Crete...",5,48,"A great, quiet place in the southwest of Crete..."
180,Very good restaurant and super nice,4,84,Very good restaurant and super nice nice restaurant.
181,Magical atmosphere and tranquility!,4,72,Magical atmosphere and tranquility!
182,The perfect view!,5,24,The perfect view!
183,Yummy,3,24,"Yummyummy yummyummy.
Yummy."
184,Very beautiful!,5,24,Very beautiful!
185,Flawless,5,48,"Flawless and lawless lawless, lawless lawyer says.
Lawless lawyer calls lawless practice ""flawless""
Lawyer: Lawless lawyer is ""foolless"""
186,Everything is great!!,5,36,Everything is great!!
187,Amazing place,5,120,"Amazing place, amazing place.
Amazing place."
188,Magical place.,5,36,"Magical place in the world.
Magical places.
magical place."
